x [m],head under wg layer analytical,head above wg layer analytical,head under wg layer modflow,head above wg layer modflow
27.75,0.276463,0.2775,0.276455,0.277462
27.875,0.276416,0.2775,0.276408,0.277461
28,0.276369,0.2775,0.27636,0.277461
28.125,0.276322,0.2775,0.276313,0.27746
28.25,0.276275,0.2775,0.276265,0.277459
28.375,0.276228,0.2775,0.276218,0.277459
28.5,0.276181,0.2775,0.27617,0.277458
28.625,0.276134,0.2775,0.276123,0.277457
28.75,0.276087,0.2775,0.276075,0.277457
28.875,0.27604,0.2775,0.276028,0.277456
29,0.275993,0.2775,0.275981,0.277455
29.125,0.275946,0.2775,0.275933,0.277455
29.25,0.275899,0.2775,0.275886,0.277454
29.375,0.275852,0.2775,0.275838,0.277454
29.5,0.275805,0.2775,0.275791,0.277453
29.625,0.275758,0.2775,0.275743,0.277452
29.75,0.275711,0.2775,0.275696,0.277452
29.875,0.275664,0.2775,0.275648,0.277451
30,0.275616,0.2775,0.275601,0.27745
30.125,0.275569,0.2775,0.275553,0.27745
30.25,0.275523,0.2775,0.275506,0.277449
30.375,0.275476,0.2775,0.275458,0.277448
30.5,0.275429,0.2775,0.275411,0.277448
30.625,0.275382,0.2775,0.275363,0.277447
30.75,0.275335,0.2775,0.275316,0.277446
30.875,0.275288,0.2775,0.275268,0.277446
31,0.275241,0.2775,0.275221,0.277445
31.125,0.275194,0.2775,0.275173,0.277445
31.25,0.275147,0.2775,0.275126,0.277444
31.375,0.2751,0.2775,0.275078,0.277443
31.5,0.275053,0.2775,0.275031,0.277443
31.625,0.275006,0.2775,0.274983,0.277442
31.75,0.274959,0.2775,0.274936,0.277441
31.875,0.274912,0.2775,0.274888,0.277441
32,0.274865,0.2775,0.274841,0.27744
32.125,0.274818,0.2775,0.274793,0.27744
32.25,0.274772,0.2775,0.274746,0.277439
32.375,0.274725,0.2775,0.274698,0.277438
32.5,0.274678,0.2775,0.274651,0.277438
32.625,0.274631,0.2775,0.274603,0.277437
32.75,0.274584,0.2775,0.274556,0.277436
32.875,0.274537,0.2775,0.274509,0.277436
33,0.274491,0.2775,0.274461,0.277435
33.125,0.274444,0.2775,0.274414,0.277435
33.25,0.274397,0.2775,0.274366,0.277434
33.375,0.27435,0.2775,0.274319,0.277433
33.5,0.274304,0.2775,0.274271,0.277433
33.625,0.274257,0.2775,0.274224,0.277432
33.75,0.27421,0.2775,0.274176,0.277432
33.875,0.274163,0.2775,0.274129,0.277431
34,0.274117,0.2775,0.274081,0.277431
34.125,0.27407,0.2775,0.274034,0.27743
34.25,0.274023,0.2775,0.273986,0.277429
34.375,0.273977,0.2775,0.273939,0.277429
34.5,0.27393,0.2775,0.273891,0.277428
34.625,0.273884,0.2775,0.273844,0.277428
34.75,0.273837,0.2775,0.273796,0.277427
34.875,0.27379,0.2775,0.273749,0.277426
35,0.273744,0.2775,0.273701,0.277426
35.125,0.273697,0.2775,0.273654,0.277425
35.25,0.273651,0.2775,0.273606,0.277425
35.375,0.273604,0.2775,0.273559,0.277424
35.5,0.273558,0.2775,0.273511,0.277424
35.625,0.273511,0.2775,0.273464,0.277423
35.75,0.273465,0.2775,0.273416,0.277423
35.875,0.273418,0.2775,0.273369,0.277422
36,0.273372,0.2775,0.273321,0.277421
36.125,0.273326,0.2775,0.273274,0.277421
36.25,0.273279,0.2775,0.273226,0.27742
36.375,0.273233,0.2775,0.273179,0.27742
36.5,0.273186,0.2775,0.273131,0.277419
36.625,0.27314,0.2775,0.273084,0.277419
36.75,0.273094,0.2775,0.273037,0.277418
36.875,0.273048,0.2775,0.272989,0.277418
37,0.273001,0.2775,0.272942,0.277417
37.125,0.272955,0.2775,0.272894,0.277417
37.25,0.272909,0.2775,0.272847,0.277416
37.375,0.272863,0.2775,0.272799,0.277416
37.5,0.272817,0.2775,0.272752,0.277415
37.625,0.272771,0.2775,0.272704,0.277415
37.75,0.272725,0.2775,0.272657,0.277414
37.875,0.272678,0.2775,0.272609,0.277414
38,0.272632,0.2775,0.272562,0.277413
38.125,0.272586,0.2775,0.272514,0.277413
38.25,0.27254,0.2775,0.272467,0.277412
38.375,0.272495,0.2775,0.272419,0.277412
38.5,0.272449,0.2775,0.272372,0.277411
38.625,0.272403,0.2775,0.272324,0.277411
38.75,0.272357,0.2775,0.272277,0.27741
38.875,0.272311,0.2775,0.272229,0.27741
39,0.272265,0.2775,0.272182,0.277409
39.125,0.27222,0.2775,0.272134,0.277409
39.25,0.272174,0.2775,0.272087,0.277408
39.375,0.272128,0.2775,0.272039,0.277408
39.5,0.272083,0.2775,0.271992,0.277407
39.625,0.272037,0.2775,0.271944,0.277407
39.75,0.271992,0.2775,0.271897,0.277406
39.875,0.271946,0.2775,0.271849,0.277406
40,0.271901,0.2775,0.271802,0.277406
40.125,0.271855,0.2775,0.271754,0.277405
40.25,0.27181,0.2775,0.271707,0.277405
40.375,0.271765,0.2775,0.271659,0.277404
40.5,0.271719,0.2775,0.271612,0.277404
40.625,0.271674,0.2775,0.271565,0.277403
40.75,0.271629,0.2775,0.271517,0.277403
40.875,0.271584,0.2775,0.27147,0.277403
41,0.271539,0.2775,0.271422,0.277402
41.125,0.271494,0.2775,0.271375,0.277402
41.25,0.271449,0.2775,0.271327,0.277401
41.375,0.271404,0.2775,0.27128,0.277401
41.5,0.271359,0.2775,0.271232,0.277401
41.625,0.271314,0.2775,0.271185,0.2774
41.75,0.271269,0.2775,0.271137,0.2774
41.875,0.271225,0.2775,0.27109,0.277399
42,0.27118,0.2775,0.271042,0.277399
42.125,0.271136,0.2775,0.270995,0.277399
42.25,0.271091,0.2775,0.270947,0.277398
42.375,0.271047,0.2775,0.2709,0.277398
42.5,0.271002,0.2775,0.270852,0.277398
42.625,0.270958,0.2775,0.270805,0.277397
42.75,0.270914,0.2775,0.270757,0.277397
42.875,0.27087,0.2775,0.27071,0.277396
43,0.270826,0.2775,0.270662,0.277396
43.125,0.270782,0.2775,0.270615,0.277396
43.25,0.270738,0.2775,0.270567,0.277395
43.375,0.270694,0.2775,0.27052,0.277395
43.5,0.270651,0.2775,0.270472,0.277395
43.625,0.270607,0.2775,0.270425,0.277394
43.75,0.270564,0.2775,0.270377,0.277394
43.875,0.27052,0.2775,0.27033,0.277394
44,0.270477,0.2775,0.270283,0.277394
44.125,0.270434,0.2775,0.270235,0.277393
44.25,0.270391,0.2775,0.270188,0.277393
44.375,0.270348,0.2775,0.27014,0.277393
44.5,0.270306,0.2775,0.270093,0.277392
44.625,0.270263,0.2775,0.270045,0.277392
44.75,0.27022,0.2775,0.269998,0.277392
44.875,0.270178,0.2775,0.26995,0.277392
45,0.270136,0.2775,0.269903,0.277391
45.125,0.270094,0.2775,0.269855,0.277391
45.25,0.270052,0.2775,0.269808,0.277391
45.375,0.27001,0.2775,0.269761,0.277391
45.5,0.269969,0.2775,0.269713,0.27739
45.625,0.269928,0.2775,0.269666,0.27739
45.75,0.269886,0.2775,0.269618,0.27739
45.875,0.269845,0.2775,0.269571,0.27739
46,0.269805,0.2775,0.269524,0.277389
