x [m],head under wg layer analytical,head above wg layer analytical,head under wg layer modflow,head above wg layer modflow
31.5,0.275053,0.275075,0.275054,0.275079
31.625,0.275006,0.275029,0.275007,0.275033
31.75,0.274959,0.274983,0.27496,0.274987
31.875,0.274912,0.274936,0.274913,0.274941
32,0.274865,0.27489,0.274866,0.274894
32.125,0.274818,0.274844,0.274819,0.274848
32.25,0.274772,0.274798,0.274772,0.274802
32.375,0.274725,0.274751,0.274725,0.274756
32.5,0.274678,0.274705,0.274679,0.27471
32.625,0.274631,0.274659,0.274632,0.274664
32.75,0.274584,0.274613,0.274585,0.274618
32.875,0.274537,0.274567,0.274538,0.274572
33,0.274491,0.274521,0.274491,0.274526
33.125,0.274444,0.274475,0.274445,0.27448
33.25,0.274397,0.274428,0.274398,0.274434
33.375,0.27435,0.274382,0.274351,0.274388
33.5,0.274304,0.274336,0.274304,0.274342
33.625,0.274257,0.27429,0.274258,0.274296
33.75,0.27421,0.274244,0.274211,0.27425
33.875,0.274163,0.274199,0.274164,0.274205
34,0.274117,0.274153,0.274118,0.274159
34.125,0.27407,0.274107,0.274071,0.274113
34.25,0.274023,0.274061,0.274024,0.274067
34.375,0.273977,0.274015,0.273978,0.274022
34.5,0.27393,0.273969,0.273931,0.273976
34.625,0.273884,0.273924,0.273885,0.27393
34.75,0.273837,0.273878,0.273838,0.273885
34.875,0.27379,0.273832,0.273791,0.273839
35,0.273744,0.273787,0.273745,0.273794
35.125,0.273697,0.273741,0.273698,0.273748
35.25,0.273651,0.273695,0.273652,0.273703
35.375,0.273604,0.27365,0.273605,0.273658
35.5,0.273558,0.273604,0.273559,0.273612
35.625,0.273511,0.273559,0.273512,0.273567
35.75,0.273465,0.273513,0.273466,0.273522
35.875,0.273418,0.273468,0.27342,0.273476
36,0.273372,0.273423,0.273373,0.273431
36.125,0.273326,0.273377,0.273327,0.273386
36.25,0.273279,0.273332,0.27328,0.273341
36.375,0.273233,0.273287,0.273234,0.273296
36.5,0.273186,0.273242,0.273188,0.273251
36.625,0.27314,0.273196,0.273141,0.273206
36.75,0.273094,0.273151,0.273095,0.273161
36.875,0.273048,0.273106,0.273049,0.273116
37,0.273001,0.273061,0.273003,0.273071
37.125,0.272955,0.273016,0.272957,0.273027
37.25,0.272909,0.272971,0.27291,0.272982
37.375,0.272863,0.272927,0.272864,0.272937
37.5,0.272817,0.272882,0.272818,0.272893
37.625,0.272771,0.272837,0.272772,0.272848
37.75,0.272725,0.272792,0.272726,0.272804
37.875,0.272678,0.272748,0.27268,0.272759
38,0.272632,0.272703,0.272634,0.272715
38.125,0.272586,0.272658,0.272588,0.272671
38.25,0.27254,0.272614,0.272542,0.272626
38.375,0.272495,0.27257,0.272496,0.272582
38.5,0.272449,0.272525,0.27245,0.272538
38.625,0.272403,0.272481,0.272404,0.272494
38.75,0.272357,0.272437,0.272359,0.27245
38.875,0.272311,0.272393,0.272313,0.272406
39,0.272265,0.272349,0.272267,0.272362
39.125,0.27222,0.272305,0.272221,0.272319
39.25,0.272174,0.272261,0.272176,0.272275
