"L/H","Q_total_numerical","Q_total_analytical","Q_total_error","Q_vw_numerical","Q_vw_analytical","Q_vw_error","Q_til_numerical","Q_til_analytical","Q_til_error","dil_numerical","dil_analytical","dil_error"
22.5,0.00969222,0.00949567,2.02796,0.00949849,0.00949567,0.0296847,0.000201701,0.000207765,-3.00667,47.092,45.7039,2.94773
23,0.00970058,0.00949557,2.1133,0.00949842,0.00949557,0.0299223,0.00021088,0.000217102,-2.95026,45.0418,43.7379,2.89477
23.5,0.00971173,0.00949548,2.22674,0.00949837,0.00949548,0.0304347,0.000220269,0.000226643,-2.89393,43.1217,41.8961,2.84211
24,0.00972137,0.00949538,2.32463,0.00949849,0.00949538,0.0327019,0.000229852,0.00023639,-2.84452,41.3243,40.1682,2.79764
24.5,0.00973294,0.00949528,2.44181,0.00949835,0.00949528,0.0322934,0.000239637,0.000246343,-2.79817,39.6364,38.545,2.75342
25,0.00974267,0.00949519,2.54016,0.00949831,0.00949519,0.032875,0.000249624,0.0002565,-2.75461,38.0505,37.0183,2.71276
25.5,0.0097547,0.00949509,2.66138,0.00949842,0.00949509,0.0349955,0.000259812,0.000266863,-2.71385,36.5588,35.5805,2.67622
26,0.0097634,0.009495,2.74912,0.00949826,0.009495,0.0343226,0.000270203,0.00027743,-2.67493,35.1523,34.2248,2.63867
26.5,0.00977345,0.0094949,2.85004,0.00949821,0.0094949,0.0348161,0.000280796,0.000288203,-2.63801,33.826,32.9451,2.60413
27,0.00978863,0.0094948,3.00167,0.00949833,0.0094948,0.0371034,0.000291589,0.000299182,-2.604,32.5744,31.7359,2.57408
27.5,0.00979769,0.00949471,3.09237,0.00949817,0.00949471,0.0364501,0.000302582,0.000310365,-2.57213,31.3904,30.5921,2.54317
28,0.00980881,0.00949461,3.20323,0.00949816,0.00949461,0.0373162,0.000313784,0.000321754,-2.53999,30.2698,29.509,2.51346
28.5,0.00982477,0.00949452,3.36149,0.00949829,0.00949452,0.0397701,0.000325175,0.000333347,-2.51323,29.2098,28.4823,2.49041
29,0.00983304,0.00949442,3.44371,0.00949814,0.00949442,0.0391562,0.000336777,0.000345146,-2.48525,28.2031,27.5084,2.46319
29.5,0.00984407,0.00949432,3.55289,0.00949815,0.00949432,0.0402673,0.000348578,0.000357151,-2.45939,27.2483,26.5835,2.43966
30,0.00985692,0.00949423,3.67962,0.00949828,0.00949423,0.0426329,0.000360573,0.00036936,-2.43682,26.3421,25.7045,2.42047
30.5,0.00986982,0.00949413,3.80642,0.00949814,0.00949413,0.0421955,0.000372773,0.000381775,-2.41475,25.4797,24.8684,2.39901
31,0.00988458,0.00949403,3.95105,0.00949814,0.00949403,0.0432184,0.000385162,0.000394394,-2.39691,24.6601,24.0724,2.38301
31.5,0.00989457,0.00949394,4.04902,0.00949827,0.00949394,0.0455742,0.00039777,0.000407219,-2.37553,23.8788,23.3141,2.36493
32,0.00990716,0.00949384,4.17194,0.00949813,0.00949384,0.0451956,0.000410565,0.00042025,-2.35895,23.1343,22.591,2.34874
32.5,0.00992324,0.00949375,4.32816,0.00949814,0.00949375,0.0462577,0.000423554,0.000433485,-2.34461,22.4248,21.901,2.3361
33,0.00993468,0.00949365,4.43934,0.00949827,0.00949365,0.0486723,0.000436758,0.000446926,-2.32799,21.7472,21.2421,2.32259
33.5,0.0099495,0.00949355,4.58266,0.00949814,0.00949355,0.0483329,0.000450145,0.000460571,-2.31615,21.1002,20.6126,2.31096
34,0.00996359,0.00949346,4.71854,0.00949815,0.00949346,0.049395,0.000463739,0.000474422,-2.30385,20.4817,20.0106,2.30025
34.5,0.00997746,0.00949336,4.85189,0.00949829,0.00949336,0.051888,0.000477532,0.000488479,-2.29239,19.8904,19.4345,2.29175
35,0.00999087,0.00949326,4.9806,0.00949817,0.00949326,0.051627,0.000491523,0.00050274,-2.28202,19.3239,18.883,2.28158
35.5,0.0100051,0.00949317,5.11658,0.00949819,0.00949317,0.0528361,0.000505713,0.000517207,-2.27279,18.7818,18.3547,2.27394
36,0.01002,0.00949307,5.25875,0.00949835,0.00949307,0.0555936,0.000520099,0.000531878,-2.26489,18.2626,17.8482,2.26909
36.5,0.0100333,0.00949298,5.38493,0.0094983,0.00949298,0.0560971,0.000534687,0.000546755,-2.25712,17.7642,17.3624,2.26215
37,0.0100491,0.00949288,5.53493,0.00949795,0.00949288,0.0534058,0.000549468,0.000561838,-2.2512,17.2857,16.8961,2.25387
37.5,0.0100642,0.00949278,5.678,0.00949827,0.00949278,0.0577313,0.000564447,0.000577125,-2.24608,16.8276,16.4484,2.2532
38,0.0100797,0.00949269,5.82326,0.00949826,0.00949269,0.058666,0.000579628,0.000592618,-2.24102,16.3868,16.0182,2.24927
38.5,0.0100945,0.00949259,5.96294,0.00949792,0.00949259,0.056161,0.000595004,0.000608315,-2.23722,15.9628,15.6047,2.2432
39,0.0101104,0.00949249,6.11167,0.00949825,0.00949249,0.0605942,0.000610577,0.000624218,-2.23411,15.5562,15.207,2.24456
39.5,0.010126,0.0094924,6.25728,0.00949825,0.0094924,0.0615877,0.000626346,0.000640327,-2.23215,15.1645,14.8243,2.24366
40,0.0101416,0.0094923,6.40236,0.00949792,0.0094923,0.0591318,0.000642311,0.00065664,-2.2309,14.7871,14.4559,2.24006
40.5,0.0101578,0.00949221,6.55284,0.00949825,0.00949221,0.0635845,0.000658475,0.000673159,-2.22989,14.4246,14.101,2.24345
41,0.0101749,0.00949211,6.71071,0.00949824,0.00949211,0.0645878,0.000674834,0.000689882,-2.23,14.0749,13.759,2.24454
41.5,0.010191,0.00949201,6.85892,0.00949792,0.00949201,0.0621516,0.000691386,0.000706811,-2.23113,13.7375,13.4293,2.24323
42,0.0102078,0.00949192,7.01306,0.00949824,0.00949192,0.0666139,0.000708136,0.000723946,-2.23253,13.413,13.1114,2.24894
42.5,0.0102244,0.00949182,7.16526,0.00949824,0.00949182,0.067627,0.000725081,0.000741285,-2.23477,13.0996,12.8045,2.25207
43,0.0102419,0.00949172,7.3244,0.00949792,0.00949172,0.0651909,0.000742224,0.00075883,-2.2373,12.7966,12.5084,2.25211
43.5,0.0102595,0.00949163,7.4842,0.00949825,0.00949163,0.0696728,0.000759559,0.000776579,-2.24081,12.5049,12.2224,2.25985
